Fecha,Amazonas,Ancash,Apurimac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,La Libertad,Lambayeque,Lima,Loreto,Madre de Dios,Moquegua,Pasco,Piura,Puno,San Martín,Tacna ,Tumbes,Ucayali,No registrado
2005-12-01,0.38692883,315.1132564,7.32549133,51.70441023,0.05112176,200.27704737,153.29275546,52.28597312,0.0,6.4705918,90.0786510200001,86.48332007,111.45772518,17.11946891,425.204678040002,7.70930763,0.11489437,248.55555061,56.2192047,78.74571189,9.7684672,6.13286589,76.3012045000001,3.97762155,2.97941486,6.34462583299
2006-01-01,0.26310886,197.8705736,0.0,38.87425101,0.42539136,120.88705782,89.40791989,31.88599087,2.05792008,0.14508264,114.42498652,80.10132417,87.2417791499998,8.58153466,404.457501950002,2.26512376,0.12095929,91.67822901,32.02989609,84.1851800500002,8.02316593,4.90444021,22.35428023,5.56755732,1.98205324,0.823736558413657
2006-02-01,0.21284308,231.52262591,0.01038082,42.91851444,0.03740244,150.55049442,86.2711938300001,24.98176404,3.95735649,2.46786326,115.9671833,82.81136764,60.9407166099999,7.91672863,344.665453169999,4.62445586,0.67236455,102.50487442,40.78098441,74.1895585100005,8.91706481,0.8595197,53.04609464,4.70774541,1.79587915,0.81945103106159
2006-03-01,7.5e-06,272.45836769,21.11138342,29.36735634,0.44621845,164.05490353,112.72784955,29.0703077,0.69105566,0.025125,104.40671083,101.17558024,69.2079592400001,6.6643645,392.667675611284,7.04954084,3.17915943,192.12727099,32.58770187,126.17533672,8.21753564,0.65458699,63.86602994,5.77010996,2.20360715,0.0
2006-04-01,0.0765546,269.79888385,0.06748177,107.99796911,4.75776806,152.85825371,114.03363115,33.11211871,1.31820043,7.47083709,99.2392322899996,106.93913934,62.6824472899999,7.10219469,442.99745094,4.55425453,1.76786663,189.1923233,64.33650102,109.13441034,10.32885478,1.50841443,20.15184121,5.5380954,4.29846498,0.576833923585582
2006-05-01,0.13065361,251.47359148,20.42592901,61.21836918,0.4187429,195.6835174,131.34529083,68.15175255,2.85578532,0.391288,105.24784461,106.83468301,54.6627888700001,14.51037701,475.784280540073,14.17767158,0.23277783,249.8599957,43.15219544,73.61515439,10.12182497,1.84953215,52.5211793599999,6.4096109,3.3471118,0.0
2006-06-01,0.29036697,319.7345525,0.04634185,82.49746854,1.02501273,161.882727,127.84719298,51.15704576,1.22691467,4.81351585,115.68872934,101.35304876,84.0696724800001,14.75577765,500.342854129999,3.10705676,0.30618861,198.14628539,80.65087409,132.77326629,8.22363648000001,5.67364555,40.59831069,4.324172,2.37922627,0.0893156554748202
2006-07-01,0.53958846,389.89450715,20.21498303,77.06899463,0.75875861,129.01624038,166.36926215,81.54268426,2.57902476,3.05673088,165.16383718,123.57959122,122.78271473,19.99122496,541.886749826991,10.17884172,1.04965883,250.2734087,69.69778468,131.04772309,11.88731401,4.36113896,32.6398228600001,4.54204714,3.18857564,0.0
2006-08-01,0.60863312,411.06446934,0.0,22.06972473,3.05357965,110.62871244,119.10652733,49.30219234,4.72478876,6.19126029,125.60597747,118.3243488,102.44387361,19.28761915,527.285392439999,9.60740502,0.74715623,161.43755326,76.9971253200001,93.8563767100001,12.02848125,9.14994256,25.58457212,4.83013647,4.40307192,0.300453060728614
2006-09-01,0.58635384,279.95016267,0.0,141.41883863,3.20169097,146.76464591,120.82643426,73.6461951300001,0.69752707,3.83562288,113.75413585,99.26650274,120.70248405,23.925463,456.371424409999,3.53649479,0.63461616,319.73054834,68.93889194,102.24677829,9.94735083,12.47871895,55.7909030199999,4.32315,3.12359861,2.40531944899885
2006-10-01,0.85520271,311.14202443,23.93728782,88.99311783,0.15129413,104.78250172,117.28105898,51.07822253,7.70790631,6.22181376,155.09940168,154.68650376,77.7382546799999,25.93941374,573.13678516,6.43712792,0.68552551,155.72944921,66.82153551,85.54350463,15.59459852,6.68152589,19.3032084499999,4.83627146,3.93529883,6.22096725518259
2006-11-01,0.55287018,346.40328856,0.0,70.4171998,0.27797295,115.36723345,122.64626324,49.34159547,8.69855339,6.60678103,136.94589442,109.38798317,123.30340664,25.81939235,592.134697029999,11.3943867,0.91604061,252.50771858,72.13460917,54.01844575,12.24973474,7.44816141,58.0997209100002,4.6515117,3.34286933,6.68835867379266
